Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Climate Change Response,Climate Change Impact on the Project,Adaptation Finance ($ million),Mitigation Finance ($ million),Type of Financing,Currency,Project URL
13-Dec-2019,53028-001,"Ulaanbaatar Air Quality Improvement Program, Phase 2",MON,Mongolia,East Asia,EARD,EAER,Sovereign,,Stand-Alone Policy-Based Lending (Loan),Loan,3880,ADB funds,OCR,,Energy,Health,Dual-use,High,,8.089,Investment,USD,https://www.adb.org/projects/53028-001/main
13-Dec-2019,53028-001,"Ulaanbaatar Air Quality Improvement Program, Phase 2",MON,Mongolia,East Asia,EARD,EAER,Sovereign,,Stand-Alone Policy-Based Lending (Loan),Loan,3880,ADB funds,OCR,,Energy,Public sector management,Dual-use,High,,11.822,Investment,USD,https://www.adb.org/projects/53028-001/main
13-Dec-2019,53028-001,"Ulaanbaatar Air Quality Improvement Program, Phase 2",MON,Mongolia,East Asia,EARD,EAER,Sovereign,,Stand-Alone Policy-Based Lending (Loan),Loan,3880,ADB funds,OCR,,Energy,Transport,Dual-use,High,,3.733,Investment,USD,https://www.adb.org/projects/53028-001/main
13-Dec-2019,53028-001,"Ulaanbaatar Air Quality Improvement Program, Phase 2",MON,Mongolia,East Asia,EARD,EAER,Sovereign,,Stand-Alone Policy-Based Lending (Loan),Loan,3880,ADB funds,OCR,,Energy,Water and other urban infrastructure and services,Dual-use,High,,14.933,Investment,USD,https://www.adb.org/projects/53028-001/main
17-Dec-2019,51194-001,Shandong Green Development Fund Project,PRC,People's Republic of China,East Asia,EARD,EAPF,Sovereign,676.080,Development financing institution,Loan,3824,ADB funds,OCR,98.756,Finance,Finance,Dual-use,High,24.689,74.067,Investment,USD,https://www.adb.org/projects/51194-001/main
2-Oct-2019,48186-007,Regional Road Development and Maintenance Project (Additional Financing),MON,Mongolia,East Asia,EARD,EASI,Sovereign,60.600,Project loan,Loan,3786,ADB funds,OCR,58.500,Transport,Transport,Adaptation,Medium,16.000,,Investment,USD,https://www.adb.org/projects/48186-007/main
2-Oct-2019,48186-007,Regional Road Development and Maintenance Project (Additional Financing),MON,Mongolia,East Asia,EARD,EASI,Sovereign,,Project grant,Grant,0644,Cofinancing (Syndicated/Contractual),High Level Technology Fund,1.500,Transport,Transport,Adaptation,Medium,,,Investment,USD,https://www.adb.org/projects/48186-007/main
4-Dec-2019,51366-001,Guizhou Gui'an New District New Urbanization Smart Transport System Development Project,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,495.810,Project loan,Loan,3807,ADB funds,OCR,192.833,Transport,Transport,Mitigation,Medium,,108.590,Investment,USD,https://www.adb.org/projects/51366-001/main
22-Nov-2019,50391-001,Demonstration of Guangxi Elderly Care and Health Care Integration and Public-Private Partnership Project,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,193.530,Project loan,Loan,3819,ADB funds,OCR,100.000,Health,Health,Dual-use,Medium,0.470,3.235,Investment,USD,https://www.adb.org/projects/50391-001/main
29-Nov-2019,50393-002,Gansu Internet-Plus Agriculture Development Project,PRC,People's Republic of China,East Asia,EARD,EAER,Sovereign,181.165,Project loan,Loan,3820,ADB funds,OCR,129.965,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,73.220,19.510,Investment,USD,https://www.adb.org/projects/50393-002/main
17-Sep-2019,47358-002,"Enhancing Safety, Security, and Sustainability of Apia Port Project",SAM,Samoa,Pacific,PARD,PATC,Sovereign,75.030,Project grant,Grant,0654,ADB funds,ADF,62.260,Transport,Transport,Adaptation,Medium,22.800,,Investment,USD,https://www.adb.org/projects/47358-002/main
3-Dec-2019,49450-023,Renewable Energy Development Project,FSM,Federated States of Micronesia,Pacific,PARD,PAEN,Sovereign,15.510,Project grant,Grant,0680,ADB funds,ADF,15.000,Energy,Energy,Dual-use,Low,0.750,14.201,Investment,USD,https://www.adb.org/projects/49450-023/main
27-Sep-2019,49450-009,Solar Power Development Project,NAU,Nauru,Pacific,PARD,PAEN,Sovereign,26.980,Project grant,Grant,0664,ADB funds,ADF,22.000,Energy,Energy,Mitigation,Low,,22.000,Investment,USD,https://www.adb.org/projects/49450-009/main
13-Sep-2019,49450-012,Renewable Energy Project,TON,Tonga,Pacific,PARD,PAEN,Sovereign,53.200,Project grant,Grant,0640,ADB funds,ADF,12.200,Energy,Energy,Dual-use,Medium,0.610,11.590,Investment,USD,https://www.adb.org/projects/49450-012/main
13-Sep-2019,49450-012,Renewable Energy Project,TON,Tonga,Pacific,PARD,PAEN,Sovereign,,Project grant,Grant,0641,Cofinancing (Syndicated/Contractual),Green Climate Fund,29.900,Energy,Energy,Dual-use,Medium,1.495,28.405,Investment,USD,https://www.adb.org/projects/49450-012/main
