Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Other Sector(s) Covered,Climate Change Response,Climate Change Impact on the Project,Adaptation Finance ($ million),Mitigation Finance ($ million),Type of Financing,Currency,Project URL,,,,,,,,,,,,,,
05-May-20,51423-002,Vegetable Production and Irrigated Agriculture Project,MON,Mongolia,East Asia,EARD,"MNRM, EAER",Sovereign,46.25,Project loan,Loan,3895,ADB funds,Concessional OCR,25.3,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Dual-use,Medium,14.04,4.49,Investment,USD,https://www.adb.org/projects/51423-002/main,,,,,,,,,,,,,,
05-May-20,51423-002,Vegetable Production and Irrigated Agriculture Project,MON,Mongolia,East Asia,EARD,"MNRM, EAER",Sovereign,,Project loan,Loan,3896,ADB funds,OCR,14.7,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Dual-use,Medium,8.16,2.61,Investment,USD,https://www.adb.org/projects/51423-002/main,,,,,,,,,,,,,,
05-May-20,51423-002,Vegetable Production and Irrigated Agriculture Project,MON,Mongolia,East Asia,EARD,"MNRM, EAER",Sovereign,,Project loan,Grant,9205,Cofinancing (Syndicated/Contractual),Japan Fund for Poverty Reduction,2,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Dual-use,Medium,,,Investment,USD,https://www.adb.org/projects/51423-002/main,,,,,,,,,,,,,,
14-May-20,53249-001,First Utility-Scale Energy Storage Project,MON,Mongolia,East Asia,EARD,EASI,Sovereign,114.95,Project loan,Loan,3874,ADB funds,OCR,100,Energy,Energy,,Dual-use,Medium,0.1,99.9,Investment,USD,https://www.adb.org/projects/53249-001/main,,,,,,,,,,,,,,
14-May-20,53249-001,First Utility-Scale Energy Storage Project,MON,Mongolia,East Asia,EARD,EASI,Sovereign,,Project loan,Grant,0696,Cofinancing (Syndicated/Contractual),High Level Technology Fund,3,Energy,Energy,,Dual-use,Medium,,3,Investment,USD,https://www.adb.org/projects/53249-001/main,,,,,,,,,,,,,,
30-Dec-20,45007-009,Ulaanbaatar Urban Services and Ger Areas Development Investment Program - Tranche 3,MON,Mongolia,East Asia,EARD,EASS,Sovereign,114.2,MFF-Tranche (Loan),Loan,3946,ADB funds,OCR,25.05,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Education; Transport,Dual-use,Medium,1.97,,Investment,USD,https://www.adb.org/projects/45007-009/main,,,,,,,,,,,,,,
30-Dec-20,45007-009,Ulaanbaatar Urban Services and Ger Areas Development Investment Program - Tranche 3,MON,Mongolia,East Asia,EARD,EASS,Sovereign,,MFF-Tranche (Loan),Loan,3947,ADB funds,Concessional OCR,18.6,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Education; Transport,Dual-use,Medium,0.87,0.87,Investment,USD,https://www.adb.org/projects/45007-009/main,,,,,,,,,,,,,,
02-Jul-20,51410-001,Developing the Economic Cooperation Zone Project,MON,Mongolia,East Asia,EARD,EAPF,Sovereign,35.76,Project loan,Loan,3936,ADB funds,Concessional OCR,30.34944078,Industry and trade,Transport,Industry and trade; Information and communication technology,Dual-use,Medium,0.385459,0.077092,Investment,USD,https://www.adb.org/projects/51410-001/main,,,,,,,,,,,,,,
02-Jul-20,51410-001,Developing the Economic Cooperation Zone Project,MON,Mongolia,East Asia,EARD,EAPF,Sovereign,,Project loan,Loan,3936,ADB funds,Concessional OCR,,Industry and trade,Industry and trade,Information and communication technology; Transport,Dual-use,Medium,0.724125,0.575634,Investment,USD,https://www.adb.org/projects/51410-001/main,,,,,,,,,,,,,,
02-Jun-20,50212-003,Disaster Resilience Program (Phase 2),COO,Cook Islands,Pacific,PARD,PASP,Sovereign,10,Contingent Disaster Financing,Loan,3933,ADB funds,OCR,9.73479575,Public sector management,Public sector management,,Adaptation,Low,5,,Investment,USD,https://www.adb.org/projects/50212-003/main,,,,,,,,,,,,,,
20-Jul-20,53043-001,Outer Islands Transport Infrastructure Investment Project,KIR,Kiribati,Pacific,PARD,PATC,Sovereign,42,Project grant,Grant,0713,ADB funds,ADF,12,Transport,Transport,,Adaptation,Medium,4.35,,Investment,USD,https://www.adb.org/projects/53043-001/main,,,,,,,,,,,,,,
